currency,rate
AED,3.967046
AFN,97.746614
ALL,114.803501
AMD,428.208927
ANG,1.946363
AOA,544.773523
ARS,203.061225
AUD,1.559795
AWG,1.946746
AZN,1.840331
BAM,1.932657
BBD,2.180555
BDT,115.938648
BGN,1.951468
BHD,0.40704
BIF,2236.732711
BMD,1.080025
BND,1.415474
BOB,7.462862
BRL,5.548527
BSD,1.079951
BTC,4.6245514e-05
BTN,88.375241
BWP,13.757645
BYN,2.726509
BYR,21168.498861
BZD,2.176899
CAD,1.447499
CDF,2208.65244
CHF,0.999947
CLF,0.03119
CLP,860.618709
CNY,7.317285
COP,5073.419561
CRC,605.213467
CUC,1.080025
CUP,28.620674
CVE,108.958582
CZK,23.766289
DJF,191.942549
DKK,7.444151
DOP,61.158705
DZD,146.356991
EGP,32.683303
ERN,16.200382
ETB,57.976855
EUR,1.0
FJD,2.348019
FKP,0.881016
GBP,0.895979
GEL,2.840889
GGP,0.881016
GHS,13.229676
GIP,0.881016
GMD,65.881937
GNF,9297.522339
GTQ,8.477751
GYD,227.877737
HKD,8.475527
HNL,26.624768
HRK,7.605753
HTG,161.959104
HUF,388.025107
IDR,16293.587978
ILS,3.691689
IMP,0.881016
INR,89.083636
IQD,1576.271524
IRR,45577.07446
ISK,153.504434
JEP,0.881016
JMD,166.860741
JOD,0.766174
JPY,141.55516
KES,134.733591
KGS,93.152611
KHR,4438.822194
KMF,487.419587
KPW,971.996387
KRW,1349.438215
KWD,0.329462
KYD,0.900038
KZT,494.678782
LAK,18188.409674
LBP,16222.854177
LKR,394.202175
LRD,169.510407
LSL,18.458047
LTL,3.189035
LVL,0.653297
LYD,5.109635
MAD,10.975404
MDL,20.271049
MGA,4612.239071
MKD,60.884987
MMK,2268.012143
MNT,3777.351682
MOP,8.72744
MRO,385.568901
MUR,49.037199
MVR,16.578799
MWK,1108.488183
MXN,20.476981
MYR,4.59879
MZN,68.938432
NAD,18.458042
NGN,497.395329
NIO,39.461851
NOK,11.032007
NPR,141.400188
NZD,1.706672
OMR,0.415739
PAB,1.079951
PEN,4.128796
PGK,3.806286
PHP,58.563844
PKR,297.271536
PLN,4.71578
PYG,7892.721731
QAR,3.932414
RON,4.895112
RSD,117.334368
RUB,76.145779
RWF,1169.201231
SAR,4.052704
SBD,8.853262
SCR,14.423802
SDG,631.278849
SEK,11.393459
SGD,1.429203
SHP,1.487631
SLE,21.469668
SLL,21006.495409
SOS,613.998427
SRD,34.867583
STD,22354.346296
SVC,9.449698
SYP,2713.603748
SZL,18.518265
THB,36.159651
TJS,11.139932
TMT,3.790889
TND,3.283822
TOP,2.496965
TRY,20.326231
TTD,7.330248
TWD,32.394828
TZS,2526.179895
UAH,39.887843
UGX,3978.596471
USD,1.080025
UYU,41.810688
UZS,12222.096579
VEF,2420258.926252
VES,24.465221
VND,25326.596852
VUV,124.179129
WST,2.879607
XAF,648.205991
XAG,0.048268
XAU,0.000578
XCD,2.918823
XDR,0.795685
XOF,648.185233
XPF,118.403583
YER,270.442254
ZAR,18.873017
ZMK,9721.528975
ZMW,20.632812
ZWL,347.767755
