,name,height,weight,currency,rate
0,,,,AED,3.967046
1,,,,AFN,97.746614
2,,,,ALL,114.803501
3,,,,AMD,428.208927
4,,,,ANG,1.946363
5,,,,AOA,544.773523
6,,,,ARS,203.061225
7,,,,AUD,1.559795
8,,,,AWG,1.946746
9,,,,AZN,1.840331
10,,,,BAM,1.932657
11,,,,BBD,2.180555
12,,,,BDT,115.938648
13,,,,BGN,1.951468
14,,,,BHD,0.40704
15,,,,BIF,2236.732711
16,,,,BMD,1.080025
17,,,,BND,1.415474
18,,,,BOB,7.462862
19,,,,BRL,5.548527
20,,,,BSD,1.079951
21,,,,BTC,4.6245514e-05
22,,,,BTN,88.375241
23,,,,BWP,13.757645
24,,,,BYN,2.726509
25,,,,BYR,21168.498861
26,,,,BZD,2.176899
27,,,,CAD,1.447499
28,,,,CDF,2208.65244
29,,,,CHF,0.999947
30,,,,CLF,0.03119
31,,,,CLP,860.618709
32,,,,CNY,7.317285
33,,,,COP,5073.419561
34,,,,CRC,605.213467
35,,,,CUC,1.080025
36,,,,CUP,28.620674
37,,,,CVE,108.958582
38,,,,CZK,23.766289
39,,,,DJF,191.942549
40,,,,DKK,7.444151
41,,,,DOP,61.158705
42,,,,DZD,146.356991
43,,,,EGP,32.683303
44,,,,ERN,16.200382
45,,,,ETB,57.976855
46,,,,EUR,1.0
47,,,,FJD,2.348019
48,,,,FKP,0.881016
49,,,,GBP,0.895979
50,,,,GEL,2.840889
51,,,,GGP,0.881016
52,,,,GHS,13.229676
53,,,,GIP,0.881016
54,,,,GMD,65.881937
55,,,,GNF,9297.522339
56,,,,GTQ,8.477751
57,,,,GYD,227.877737
58,,,,HKD,8.475527
59,,,,HNL,26.624768
60,,,,HRK,7.605753
61,,,,HTG,161.959104
62,,,,HUF,388.025107
63,,,,IDR,16293.587978
64,,,,ILS,3.691689
65,,,,IMP,0.881016
66,,,,INR,89.083636
67,,,,IQD,1576.271524
68,,,,IRR,45577.07446
69,,,,ISK,153.504434
70,,,,JEP,0.881016
71,,,,JMD,166.860741
72,,,,JOD,0.766174
73,,,,JPY,141.55516
74,,,,KES,134.733591
75,,,,KGS,93.152611
76,,,,KHR,4438.822194
77,,,,KMF,487.419587
78,,,,KPW,971.996387
79,,,,KRW,1349.438215
80,,,,KWD,0.329462
81,,,,KYD,0.900038
82,,,,KZT,494.678782
83,,,,LAK,18188.409674
84,,,,LBP,16222.854177
85,,,,LKR,394.202175
86,,,,LRD,169.510407
87,,,,LSL,18.458047
88,,,,LTL,3.189035
89,,,,LVL,0.653297
90,,,,LYD,5.109635
91,,,,MAD,10.975404
92,,,,MDL,20.271049
93,,,,MGA,4612.239071
94,,,,MKD,60.884987
95,,,,MMK,2268.012143
96,,,,MNT,3777.351682
97,,,,MOP,8.72744
98,,,,MRO,385.568901
99,,,,MUR,49.037199
100,,,,MVR,16.578799
101,,,,MWK,1108.488183
102,,,,MXN,20.476981
103,,,,MYR,4.59879
104,,,,MZN,68.938432
105,,,,NAD,18.458042
106,,,,NGN,497.395329
107,,,,NIO,39.461851
108,,,,NOK,11.032007
109,,,,NPR,141.400188
110,,,,NZD,1.706672
111,,,,OMR,0.415739
112,,,,PAB,1.079951
113,,,,PEN,4.128796
114,,,,PGK,3.806286
115,,,,PHP,58.563844
116,,,,PKR,297.271536
117,,,,PLN,4.71578
118,,,,PYG,7892.721731
119,,,,QAR,3.932414
120,,,,RON,4.895112
121,,,,RSD,117.334368
122,,,,RUB,76.145779
123,,,,RWF,1169.201231
124,,,,SAR,4.052704
125,,,,SBD,8.853262
126,,,,SCR,14.423802
127,,,,SDG,631.278849
128,,,,SEK,11.393459
129,,,,SGD,1.429203
130,,,,SHP,1.487631
131,,,,SLE,21.469668
132,,,,SLL,21006.495409
133,,,,SOS,613.998427
134,,,,SRD,34.867583
135,,,,STD,22354.346296
136,,,,SVC,9.449698
137,,,,SYP,2713.603748
138,,,,SZL,18.518265
139,,,,THB,36.159651
140,,,,TJS,11.139932
141,,,,TMT,3.790889
142,,,,TND,3.283822
143,,,,TOP,2.496965
144,,,,TRY,20.326231
145,,,,TTD,7.330248
146,,,,TWD,32.394828
147,,,,TZS,2526.179895
148,,,,UAH,39.887843
149,,,,UGX,3978.596471
150,,,,USD,1.080025
151,,,,UYU,41.810688
152,,,,UZS,12222.096579
153,,,,VEF,2420258.926252
154,,,,VES,24.465221
155,,,,VND,25326.596852
156,,,,VUV,124.179129
157,,,,WST,2.879607
158,,,,XAF,648.205991
159,,,,XAG,0.048268
160,,,,XAU,0.000578
161,,,,XCD,2.918823
162,,,,XDR,0.795685
163,,,,XOF,648.185233
164,,,,XPF,118.403583
165,,,,YER,270.442254
166,,,,ZAR,18.873017
167,,,,ZMK,9721.528975
168,,,,ZMW,20.632812
169,,,,ZWL,347.767755
170,alex,1.67,51.25,,
171,ajay,1.82,61.91,,
172,alice,1.76,69.41,,
173,ravi,1.73,64.56,,
174,joe,1.72,65.45,,
175,alex,1.67,51.25,,
176,ajay,1.82,61.91,,
177,alice,1.76,69.41,,
178,ravi,1.73,64.56,,
179,joe,1.72,65.45,,
180,alex,1.67,51.25,,
181,ajay,1.82,61.91,,
182,alice,1.76,69.41,,
183,ravi,1.73,64.56,,
184,joe,1.72,65.45,,
185,jack,1.74,55.93,,
186,tom,1.77,64.18,,
187,tracy,1.78,61.9,,
188,john,1.72,50.97,,
189,jack,1.74,55.93,,
190,tom,1.77,64.18,,
191,tracy,1.78,61.9,,
192,john,1.72,50.97,,
193,jack,1.74,55.93,,
194,tom,1.77,64.18,,
195,tracy,1.78,61.9,,
196,john,1.72,50.97,,
197,simon,1.72,50.97,,
198,jacob,1.7,54.73,,
199,cindy,1.69,57.81,,
200,ivan,1.72,51.77,,
201,simon,1.72,50.97,,
202,jacob,1.7,54.73,,
203,cindy,1.69,57.81,,
204,ivan,1.72,51.77,,
205,simon,1.72,50.97,,
206,jacob,1.7,54.73,,
207,cindy,1.69,57.81,,
208,ivan,1.72,51.77,,
